query,case,median,min,median_cap,min_cap,max_cap,p10_cap,p90_cap,n_fail,label,benchmark,sf,threads
15d,3,0.725,0.6,0.725,0.6,0.97,0.629,0.922,0,job_t1,job,0,1
15d,4,0.515,0.48,0.515,0.48,0.6,0.49,0.571,0,job_t1,job,0,1
16a,1,6.27,3.18,6.27,3.18,284.62,3.255,187.80500000000006,0,job_t1,job,0,1
16a,2,1.26,0.94,1.26,0.94,1.46,1.0610000000000002,1.442,0,job_t1,job,0,1
16a,3,1.28,0.94,1.28,0.94,1.47,1.0710000000000002,1.434,0,job_t1,job,0,1
16a,4,0.92,0.83,0.92,0.83,1.02,0.849,0.99,0,job_t1,job,0,1
16b,1,167.66,17.32,167.66,17.32,300.0,24.429000000000002,300.0,3,job_t1,job,0,1
16b,2,4.73,3.04,4.73,3.04,8.26,3.4290000000000003,7.8790000000000004,0,job_t1,job,0,1
16b,3,4.87,3.21,4.87,3.21,9.33,3.479,7.8500000000000005,0,job_t1,job,0,1
16b,4,4.295,2.46,4.295,2.46,8.23,2.867,7.813,0,job_t1,job,0,1
16c,1,20.405,10.53,20.405,10.53,285.4,13.439,188.74900000000005,0,job_t1,job,0,1
16c,2,2.54,1.5,2.54,1.5,4.75,1.697,4.339,0,job_t1,job,0,1
16c,3,2.6,1.51,2.6,1.51,4.84,1.746,4.771,0,job_t1,job,0,1
16c,4,2.215,1.18,2.215,1.18,4.59,1.21,4.088,0,job_t1,job,0,1
16d,1,19.67,9.49,19.67,9.49,282.01,11.778,190.77200000000005,0,job_t1,job,0,1
16d,2,2.45,1.45,2.45,1.45,4.75,1.63,4.255000000000001,0,job_t1,job,0,1
16d,3,2.49,1.43,2.49,1.43,4.95,1.656,4.6930000000000005,0,job_t1,job,0,1
16d,4,2.16,1.13,2.16,1.13,4.73,1.13,4.128,0,job_t1,job,0,1
17a,1,23.84,3.38,23.84,3.38,274.43,3.846,147.933,0,job_t1,job,0,1
17a,2,2.085,1.31,2.085,1.31,4.7,1.628,2.8960000000000017,0,job_t1,job,0,1
17a,3,2.25,1.35,2.25,1.35,4.63,1.644,3.3250000000000015,0,job_t1,job,0,1
17a,4,2.0549999999999997,1.31,2.0549999999999997,1.31,4.66,1.464,2.837000000000002,0,job_t1,job,0,1
17b,1,12.525,1.76,12.525,1.76,300.0,2.5980000000000003,123.658,1,job_t1,job,0,1
17b,2,1.455,1.13,1.455,1.13,4.65,1.228,3.2530000000000006,0,job_t1,job,0,1
17b,3,1.475,1.13,1.475,1.13,4.78,1.247,3.292,0,job_t1,job,0,1
17b,4,1.7850000000000001,1.34,1.7850000000000001,1.34,4.68,1.395,3.257,0,job_t1,job,0,1
17c,1,12.18,1.57,12.18,1.57,300.0,1.639,122.65800000000002,1,job_t1,job,0,1
17c,2,0.95,0.76,0.95,0.76,1.14,0.806,1.094,0,job_t1,job,0,1
17c,3,0.94,0.77,0.94,0.77,1.14,0.828,1.121,0,job_t1,job,0,1
17c,4,0.765,0.72,0.765,0.72,0.97,0.729,0.792,0,job_t1,job,0,1
17d,1,15.43,2.3,15.43,2.3,300.0,2.46,141.51000000000002,1,job_t1,job,0,1
17d,2,1.355,1.18,1.355,1.18,1.59,1.2710000000000001,1.5450000000000002,0,job_t1,job,0,1
17d,3,1.37,1.19,1.37,1.19,1.59,1.2710000000000001,1.5430000000000001,0,job_t1,job,0,1
17d,4,1.18,1.05,1.18,1.05,1.42,1.12,1.242,0,job_t1,job,0,1
17e,1,127.67,12.07,127.67,12.07,300.0,20.877,283.062,2,job_t1,job,0,1
17e,2,3.635,2.43,3.635,2.43,14.1,2.756,6.394,0,job_t1,job,0,1
17e,3,3.91,2.44,3.91,2.44,15.66,2.8049999999999997,7.228000000000001,0,job_t1,job,0,1
17e,4,3.135,2.16,3.135,2.16,14.4,2.328,6.388,0,job_t1,job,0,1
17f,1,31.935,6.62,31.935,6.62,300.0,20.496000000000002,202.44800000000004,1,job_t1,job,0,1
17f,2,2.005,1.8,2.005,1.8,3.76,1.876,2.398,0,job_t1,job,0,1
17f,3,2.01,1.83,2.01,1.83,4.06,1.858,2.491,0,job_t1,job,0,1
17f,4,1.8050000000000002,1.52,1.8050000000000002,1.52,4.11,1.5570000000000002,2.693,0,job_t1,job,0,1
18a,1,2.0149999999999997,1.41,2.0149999999999997,1.41,12.96,1.5690000000000002,8.161000000000007,0,job_t1,job,0,1
18a,2,1.54,1.38,1.54,1.38,1.75,1.41,1.695,0,job_t1,job,0,1
18a,3,1.51,1.41,1.51,1.41,1.76,1.419,1.72,0,job_t1,job,0,1
18a,4,1.39,1.31,1.39,1.31,1.48,1.3590000000000002,1.46,0,job_t1,job,0,1
18b,1,2.935,1.65,2.935,1.65,3.82,1.7530000000000001,3.75,0,job_t1,job,0,1
18b,2,1.525,0.95,1.525,0.95,1.72,0.969,1.647,0,job_t1,job,0,1
18b,3,1.5350000000000001,0.94,1.5350000000000001,0.94,1.75,0.958,1.681,0,job_t1,job,0,1
18b,4,1.55,1.45,1.55,1.45,1.67,1.478,1.64,0,job_t1,job,0,1
18c,1,3.835,2.39,3.835,2.39,4.9,2.6180000000000003,4.567000000000001,0,job_t1,job,0,1
18c,2,2.085,1.75,2.085,1.75,2.66,1.85,2.6109999999999998,0,job_t1,job,0,1
18c,3,2.0949999999999998,1.72,2.0949999999999998,1.72,2.65,1.8590000000000002,2.63,0,job_t1,job,0,1
18c,4,2.255,2.0,2.255,2.0,2.77,2.2180000000000004,2.3209999999999997,0,job_t1,job,0,1
19a,1,2.7649999999999997,1.57,2.7649999999999997,1.57,4.12,1.67,4.073,0,job_t1,job,0,1
19a,2,1.415,1.31,1.415,1.31,1.57,1.3190000000000002,1.5430000000000001,0,job_t1,job,0,1
19a,3,1.4049999999999998,1.3,1.4049999999999998,1.3,1.59,1.32,1.524,0,job_t1,job,0,1
19a,4,1.2850000000000001,1.22,1.2850000000000001,1.22,1.37,1.23,1.3610000000000002,0,job_t1,job,0,1
19b,1,2.225,1.03,2.225,1.03,3.32,1.883,2.9210000000000003,0,job_t1,job,0,1
19b,2,1.145,0.84,1.145,0.84,1.19,0.9309999999999999,1.181,0,job_t1,job,0,1
19b,3,1.1549999999999998,0.84,1.1549999999999998,0.84,1.19,0.9319999999999999,1.19,0,job_t1,job,0,1
19b,4,1.15,0.84,1.15,0.84,1.19,0.9319999999999999,1.181,0,job_t1,job,0,1
19c,1,2.65,1.47,2.65,1.47,4.84,1.732,3.4810000000000016,0,job_t1,job,0,1
19c,2,1.41,1.25,1.41,1.25,1.64,1.2590000000000001,1.5850000000000002,0,job_t1,job,0,1
19c,3,1.415,1.24,1.415,1.24,1.62,1.26,1.5710000000000002,0,job_t1,job,0,1
19c,4,1.16,1.1,1.16,1.1,1.27,1.11,1.202,0,job_t1,job,0,1
19d,1,3.64,2.01,3.64,2.01,24.72,2.132,11.362000000000014,0,job_t1,job,0,1
19d,2,2.25,1.74,2.25,1.74,4.8,1.942,3.758000000000001,0,job_t1,job,0,1
19d,3,2.3,1.75,2.3,1.75,4.95,1.984,3.955000000000001,0,job_t1,job,0,1
19d,4,1.74,1.22,1.74,1.22,4.31,1.24,3.0950000000000006,0,job_t1,job,0,1
1a,1,0.39,0.19,0.39,0.19,0.65,0.199,0.631,0,job_t1,job,0,1
1a,2,0.17,0.16,0.17,0.16,0.18,0.16,0.17,0,job_t1,job,0,1
1a,3,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0,job_t1,job,0,1
1a,4,0.15,0.15,0.15,0.15,0.17,0.15,0.17,0,job_t1,job,0,1
1b,1,0.36,0.15,0.36,0.15,1.05,0.15,0.7780000000000004,0,job_t1,job,0,1
1b,2,0.11,0.1,0.11,0.1,0.26,0.109,0.11100000000000002,0,job_t1,job,0,1
1b,3,0.11,0.11,0.11,0.11,0.26,0.11,0.12,0,job_t1,job,0,1
1b,4,0.1,0.1,0.1,0.1,0.12,0.1,0.12,0,job_t1,job,0,1
1c,1,0.255,0.13,0.255,0.13,0.43,0.13,0.421,0,job_t1,job,0,1
1c,2,0.21,0.12,0.21,0.12,0.25,0.12,0.22,0,job_t1,job,0,1
1c,3,0.21,0.11,0.21,0.11,0.25,0.12,0.22,0,job_t1,job,0,1
1c,4,0.21,0.12,0.21,0.12,0.22,0.12,0.21,0,job_t1,job,0,1
1d,1,0.37,0.15,0.37,0.15,1.12,0.15,0.8210000000000005,0,job_t1,job,0,1
1d,2,0.11,0.11,0.11,0.11,0.37,0.11,0.12,0,job_t1,job,0,1
1d,3,0.11499999999999999,0.11,0.11499999999999999,0.11,0.37,0.11,0.12,0,job_t1,job,0,1
1d,4,0.11,0.1,0.11,0.1,0.12,0.109,0.12,0,job_t1,job,0,1
20a,1,9.57,1.37,9.57,1.37,38.45,2.011,26.018000000000008,0,job_t1,job,0,1
20a,2,1.4449999999999998,1.13,1.4449999999999998,1.13,1.8,1.205,1.64,0,job_t1,job,0,1
20a,3,1.44,1.13,1.44,1.13,1.81,1.195,1.633,0,job_t1,job,0,1
20a,4,1.29,1.11,1.29,1.11,1.47,1.156,1.371,0,job_t1,job,0,1
20b,1,1.545,0.61,1.545,0.61,23.63,0.763,10.006000000000002,0,job_t1,job,0,1
20b,2,0.97,0.88,0.97,0.88,1.26,0.92,1.19,0,job_t1,job,0,1
20b,3,0.98,0.89,0.98,0.89,1.25,0.91,1.171,0,job_t1,job,0,1
20b,4,0.93,0.9,0.93,0.9,1.01,0.909,1.01,0,job_t1,job,0,1
20c,1,9.48,2.67,9.48,2.67,25.56,3.991,19.459000000000007,0,job_t1,job,0,1
20c,2,1.8650000000000002,1.32,1.8650000000000002,1.32,2.51,1.508,2.2570000000000006,0,job_t1,job,0,1
20c,3,1.9,1.34,1.9,1.34,2.56,1.499,2.2660000000000005,0,job_t1,job,0,1
20c,4,1.6549999999999998,1.25,1.6549999999999998,1.25,2.06,1.322,1.8310000000000002,0,job_t1,job,0,1
