label,benchmark,sf,threads,query,med_c1,med_c2,med_c3,med_c4,best_c1,best_c2,best_c3,best_c4,insurance,insurance_fwd,residual_qo,residual_qo_c1,pt_replaces_qo,backward_extra
tpcds_sf10_t8,tpcds,10,8,Q44,93.065,92.6,92.77,85.57,91.97,90.48,90.77,83.44,1.0875891083323594,1.0050215982721382,1.0255273250239694,1.011906056322714,0.9304120908992062,1.0821549608507655
tpcds_sf10_t8,tpcds,10,8,Q45,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q46,0.52,0.41,0.41,0.41,0.51,0.41,0.41,0.41,1.2682926829268293,1.2682926829268293,1.0,1.0196078431372548,0.8039215686274509,1.0
tpcds_sf10_t8,tpcds,10,8,Q47,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q48,0.52,0.52,0.52,0.52,0.41,0.41,0.41,0.52,1.0,1.0,1.0,1.2682926829268293,1.2682926829268293,1.0
tpcds_sf10_t8,tpcds,10,8,Q49,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q50,0.82,0.31,0.31,0.31,0.62,0.31,0.31,0.31,2.6451612903225805,2.6451612903225805,1.0,1.3225806451612903,0.5,1.0
tpcds_sf10_t8,tpcds,10,8,Q51,1.85,1.85,1.85,1.75,1.74,1.75,1.75,1.75,1.0571428571428572,1.0,1.0,1.0632183908045978,1.0057471264367817,1.0571428571428572
tpcds_sf10_t8,tpcds,10,8,Q52,0.26,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.2380952380952381,1.2380952380952381,1.0,1.2380952380952381,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q53,0.31,0.21,0.21,0.21,0.31,0.21,0.21,0.21,1.4761904761904763,1.4761904761904763,1.0,1.0,0.6774193548387096,1.0
tpcds_sf10_t8,tpcds,10,8,Q54,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q55,0.26,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.2380952380952381,1.2380952380952381,1.0,1.2380952380952381,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q56,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,1.0,1.0,1.0,1.0,1.0,1.0
