query,case,seed,run_idx,runtime_seconds,Join1,Join2,Join3,Join4,Join5,Join6,Join7,Join8,Join9,Join10,Join11,Join12,Join13,Join14,Join15,Join16
26c,2,,1,0.30,probe=name build= build_rows=5400 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=char_name build= build_rows=5431 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=1261 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=1261 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=4028 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=kind_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=61559 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=comp_cast_type build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=comp_cast_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=459891 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,
27a,2,,1,0.10,probe=movie_info build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_type build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=398 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=70 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=70 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=link_type build= build_rows=70 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=69 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_link build= build_rows=9 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,
27b,2,,1,0.08,probe=movie_info build= build_rows=95 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_type build= build_rows=95 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=95 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=95 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=190 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=38 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=link_type build= build_rows=38 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=38 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_link build= build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,,
27c,2,,1,0.11,probe= build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=9 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_type build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=172 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=399 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=71 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=71 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=link_type build= build_rows=71 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=71 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_link build= build_rows=11 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,,
28a,2,,1,0.16,probe=keyword build= build_rows=4803 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=2546 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=2546 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=9491 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_type build= build_rows=9491 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=9491 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=9491 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=9827 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=5740 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=kind_type build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=26861 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=27006 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,
28b,2,,1,0.15,probe=keyword build= build_rows=148 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=77 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=77 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=4055 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_type build= build_rows=4055 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=4055 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=4055 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=4143 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=3231 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=kind_type build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=14835 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=14898 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,
28c,2,,1,0.20,probe=keyword build= build_rows=8373 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=4420 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=4420 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=12856 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_type build= build_rows=12856 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=12856 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=12856 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=13568 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=5913 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=kind_type build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=43896 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=454188 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,
29a,2,,1,0.23,probe=info_type build= build_rows=1620 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=person_info build= build_rows=30 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=30 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=role_type build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=char_name build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=10 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=22 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build=title build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0
29b,2,,1,0.24,probe=role_type build= build_rows=15 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=15 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=person_info build= build_rows=15 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=15 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=char_name build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=22 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build=title build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0
29c,2,,1,0.30,probe=char_name build= build_rows=16308 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=16740 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=person_info build= build_rows=216 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=name build= build_rows=216 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=aka_name build= build_rows=55 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=role_type build= build_rows=55 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=337 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=info_type build= build_rows=337 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=92 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=company_name build= build_rows=415 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_companies build= build_rows=18 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=comp_cast_type build= build_rows=18 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=comp_cast_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=18 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=18 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build=keyword build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0
30a,2,,1,0.30,probe=name build= build_rows=1021 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=1161 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=1161 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=7 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=369 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=1875 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=comp_cast_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=comp_cast_type build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=23558 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=18497 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,
30b,2,,1,0.27,probe=name build= build_rows=28 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=12 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=cast_info build= build_rows=5 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build= build_rows=12 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=keyword build= build_rows=7 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_keyword build= build_rows=3 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info build= build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=comp_cast_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe= build=comp_cast_type build_rows=2 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=title build= build_rows=23558 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=complete_cast build= build_rows=18497 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,probe=movie_info_idx build=info_type build_rows=1 instantiated=0 state=never_instantiated total_probes=0 probes_at_freeze= freeze_reason= probes_at_abandon= abandon_reason= inserts=0 u1=0,,,
