label,query,case,k_breakeven,med_c1,med_c,med_bf
job_t1,job_q16c,2,55.93910684499095,20.305901345499997,2.4525036225,0.32496701799999816
job_t1,job_q16d,2,54.193114050325754,19.5654289495,2.360679525,0.32343940999999865
job_t1,job_q17a,2,68.43824671755603,23.73264136,2.009938777,0.322112505
job_t1,job_q17b,2,40.977537303910616,8.411292396,1.372537992,0.17606773399999973
job_t1,job_q17c,2,40.41970011350141,7.52833528,0.885802306,0.16850795300000024
job_t1,job_q17d,2,44.79034587984284,14.203534276,1.307733666,0.2944895810000001
job_t1,job_q17e,2,387.8572673817697,126.8449846455,3.2220430425,0.31955698400000027
job_t1,job_q17f,2,66.5331837517506,29.983089338,1.913324702,0.4283290240000001
job_t1,job_q18a,2,3.5839518555016316,1.918318299,1.4602458695,0.1772759150000002
job_t1,job_q18b,2,5.70332602397367,2.8581022110000003,1.4532545904999998,0.29869237499999957
job_t1,job_q18c,2,7.329829990705086,3.6884644735,1.979681413,0.26995718099999977
job_t1,job_q19a,2,11.291802665992417,2.6585847705,1.3466398655,0.12747474350000004
job_t1,job_q19b,2,74.10349216041762,2.0942689655,1.07930019,0.0138839985
job_t1,job_q19c,2,9.564428829689614,2.5380843735000003,1.329806618,0.14108095000000015
job_t1,job_q19d,2,21.692966073431787,3.5378422155,2.171070482,0.06605006400000007
job_t1,job_q1a,2,105.90255576786579,0.3517290745,0.1309211535,0.0021048860000000007
job_t1,job_q1b,2,80.80442469247984,0.3184690465,0.0753669725,0.003046223
job_t1,job_q1c,2,2.0982554759459457,0.21924892499999998,0.170454192,0.044429310000000014
job_t1,job_q1d,2,66.5790405264698,0.324483194,0.0794514045,0.003736434500000001
job_t1,job_q20a,2,45.38959534837011,9.4641540195,1.3704511935,0.18233333199999952
job_t1,job_q20b,2,15.174659054961504,1.475316793,0.9201397645,0.03916686999999999
job_t1,job_q20c,2,35.48827983338368,9.373164688500001,1.780067958,0.22016455350000086
job_t1,job_q21a,2,12.376209449803978,0.320815575,0.1952005965,0.011041901000000003
job_t1,job_q21b,2,8.110281195661834,0.275132621,0.1947197135,0.011309385000000002
job_t1,job_q21c,2,16.373317267010673,0.387446328,0.202133287,0.012054199999999998
job_t1,job_q22a,2,17.28210467071245,1.684944397,0.616236601,0.06563695650000001
job_t1,job_q22b,2,16.565656997913248,1.604033333,0.598839044,0.06457769750000002
